Model,Target,MAE,RMSE,R2 Score
RF,CD,0.006955177789315003,0.010486524209560763,0.8919818453913071
XGB,CD,0.008492715330486471,0.012766565938992922,0.8399035096971594
DT,CD,0.010421936908917821,0.015862312066438695,0.7528465909044062
LR,CD,0.022444931605647447,0.029177048257963564,0.1637881200013639
RF,CL,0.07003738436007399,0.09546790336439155,0.9832362569201765
XGB,CL,0.0759062148676943,0.10524954725929402,0.9796250430741951
DT,CL,0.11273712484684624,0.15644402514660374,0.9549832446531037
LR,CL,0.1811163547682901,0.23159153746769343,0.9013489758274266
RF,CM,0.2165885559621515,0.29813725369312344,0.9119401129979104
XGB,CM,0.24369054023511882,0.33224665524489444,0.8906378937965413
DT,CM,0.34807160200039383,0.47578025753271047,0.7757365676651752
LR,CM,0.5624538407116474,0.7502548992077992,0.44234794013300605
